kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28869	s__GGB28869_SGB41543	t__SGB41543	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.5359406099890118	0.8454340079586293	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28869	s__GGB28869_SGB41543	t__SGB41543	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.8628362832692429	0.9815958760740766	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28869	s__GGB28869_SGB41543	t__SGB41543	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.06925000271429382	0.6108093115401738	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor_SGB41545	t__SGB41545	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.029033829372107522	0.5667237960445968	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor_SGB41545	t__SGB41545	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.23887092350276795	0.7473367719768491	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor_SGB41545	t__SGB41545	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.3276770195667771	0.7660438634376129	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor_SGB41545	t__SGB41545	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.06621527310435738	0.6108093115401738	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28868	s__GGB28868_SGB41542	t__SGB41542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria	p__Firmicutes	c__CFGB9639	o__OFGB9639	f__FGB9639	g__GGB28934	s__GGB28934_SGB41635	t__SGB41635	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.8762967556624144	0.9853196053383795	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__CFGB9639	o__OFGB9639	f__FGB9639	g__GGB28934	s__GGB28934_SGB41635	t__SGB41635	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.13525382893925342	0.6820548361290641	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__CFGB9639	o__OFGB9639	f__FGB9639	g__GGB28934	s__GGB28934_SGB41635	t__SGB41635	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.3530658257668646	0.7843908282005247	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__CFGB9639	o__OFGB9639	f__FGB9639	g__GGB28934	s__GGB28934_SGB41635	t__SGB41635	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.20022963028397212	0.7170440969512266	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridiaceae_unclassified	s__Clostridiaceae_bacterium	t__SGB41644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridiaceae_unclassified	s__Clostridiaceae_bacterium	t__SGB41645	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.7652312827451899	0.9323659952218302	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridiaceae_unclassified	s__Clostridiaceae_bacterium	t__SGB41645	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.0319307118244041	0.5722323058607668	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridiaceae_unclassified	s__Clostridiaceae_bacterium	t__SGB41645	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.7611703518607897	0.9323659952218302	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridiaceae_unclassified	s__Clostridiaceae_bacterium	t__SGB41645	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.7848172279099757	0.9432298076165593	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1XD42_76	t__SGB41647	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.054639851833437225	0.6061730374168484	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1XD42_76	t__SGB41647	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.4002512974240333	0.8166790142114024	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1XD42_76	t__SGB41647	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.2855216241564842	0.7473367719768491	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1XD42_76	t__SGB41647	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.8666755116920615	0.982758187510374	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB109670	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.07438799326518963	0.6108093115401738	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB109670	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.8080221641373566	0.9492965505500803	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB109670	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.4614192195930391	0.8166790142114024	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB109670	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.4907807757208331	0.8236051392023216	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41654	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.4333080096784536	0.8166790142114024	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41654	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.24099384916581368	0.7473367719768491	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41654	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.5395674263762646	0.8462587005133085	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41654	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.39258287540340997	0.8141076512527312	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28949	s__GGB28949_SGB41655	t__SGB41655	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.32572007860812957	0.7624910296544671	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28949	s__GGB28949_SGB41655	t__SGB41655	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.21095030668730308	0.726530784899048	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28949	s__GGB28949_SGB41655	t__SGB41655	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.9383470620685377	0.9890391364847488	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28949	s__GGB28949_SGB41655	t__SGB41655	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.08478780400156638	0.6155307589612948	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28956	s__GGB28956_SGB41665	t__SGB41665	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.4327834224986953	0.8166790142114024	All logistic values are the same	logistic	48	48
