Domain	Phylum	Class	Order	Family	Genus	Species	SGB	altNames
Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila sp910585945	SGB40889	Bilophila sp910585945 [SGB40889]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella sp910574865	SGB40904	Schaedlerella sp910574865 [SGB40904]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA3700	MGBC100798	MGBC100798 sp910584975	SGB40934	MGBC100798 sp910584975 [SGB40934]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA3700	MGBC100798	MGBC100798 sp910588545	SGB40935	MGBC100798 sp910588545 [SGB40935]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA3700	MGBC120929	MGBC120929 sp910583735	SGB40960	MGBC120929 sp910583735 [SGB40960]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA3700	RACS-045	RACS-045 sp910584635	SGB40961	RACS-045 sp910584635 [SGB40961]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA3700	RACS-045	RACS-045 sp910579785	SGB40962	RACS-045 sp910579785 [SGB40962]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA3700	RACS-045	RACS-045 sp910578245	SGB40963	RACS-045 sp910578245 [SGB40963]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA3700	RACS-045	RACS-045 sp013316135	SGB40964	RACS-045 sp013316135 [SGB40964]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-314	Fimimonas	Fimimonas sp910586905	SGB40967	Fimimonas sp910586905 [SGB40967]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Gallimonas	Gallimonas sp910585595	SGB40979	Gallimonas sp910585595 [SGB40979]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Coproplasma	Coproplasma sp910587825	SGB40984	Coproplasma sp910587825 [SGB40984]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Coproplasma	Coproplasma sp910578195	SGB40993	Coproplasma sp910578195 [SGB40993]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Coproplasma	Coproplasma sp910578765	SGB40997	Coproplasma sp910578765 [SGB40997]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Coproplasma	Coproplasma sp910585785	SGB40999	Coproplasma sp910585785 [SGB40999]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Coproplasma	Coproplasma sp013316055	SGB41001	Coproplasma sp013316055 [SGB41001]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Coproplasma	Coproplasma sp910586035	SGB41002	Coproplasma sp910586035 [SGB41002]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Coproplasma	Coproplasma sp910577555	SGB41005	Coproplasma sp910577555 [SGB41005]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-552	MGBC100320	MGBC100320 sp910587805	SGB41011	MGBC100320 sp910587805 [SGB41011]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-552	MGBC100320	MGBC100320 sp910577995	SGB41013	MGBC100320 sp910577995 [SGB41013]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-552	MGBC100320	MGBC100320 sp910577945	SGB41014	MGBC100320 sp910577945 [SGB41014]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-552	MGBC100320	MGBC100320 sp910588305	SGB41016	MGBC100320 sp910588305 [SGB41016]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-552	MGBC113161	MGBC113161 sp910579245	SGB41020	MGBC113161 sp910579245 [SGB41020]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-552	MGBC113161	MGBC113161 sp910587565	SGB41021	MGBC113161 sp910587565 [SGB41021]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-552	MGBC157735	MGBC157735 sp910588155	SGB41022	MGBC157735 sp910588155 [SGB41022]
Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-917	CAG-475	CAG-475 sp910577815	SGB41039	CAG-475 sp910577815 [SGB41039]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum sp910576545	SGB41239	Anaerotignum sp910576545 [SGB41239]
