"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB41717"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652716	0.730417430354259	0.45644372689641	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41717"	"genotype"	"ASO"	"genotypeASO"	-1.80818636089312	0	1.61453176587804	0.262737310652715	0.730417430354259	0.456443726896409	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41718"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652716	0.730417430354259	0.45644372689641	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41718"	"genotype"	"ASO"	"genotypeASO"	-1.80818636089312	0	1.61453176587804	0.262737310652715	0.730417430354259	0.456443726896409	0.792527038992554	NA	"prevalence"	32	30
"t__SGB43066"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652716	0.730417430354259	0.45644372689641	0.792527038992554	NA	"prevalence"	32	30
"t__SGB43066"	"genotype"	"ASO"	"genotypeASO"	-1.80818636089312	0	1.61453176587804	0.262737310652715	0.730417430354259	0.456443726896409	0.792527038992554	NA	"prevalence"	32	30
"t__SGB43257"	"cohort"	"Fp7"	"cohortFp7"	-1.80818636089312	0	1.61453176587805	0.262737310652716	0.730417430354259	0.133382344051449	0.654200538055717	NA	"prevalence"	32	30
"t__SGB43257"	"genotype"	"ASO"	"genotypeASO"	1.80818636089311	0	1.61453176587804	0.262737310652718	0.730417430354259	0.456443726896413	0.792527038992554	NA	"prevalence"	32	30
"t__SGB43452"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652717	0.730417430354259	0.209040061105463	0.707265977495163	NA	"prevalence"	32	30
"t__SGB43452"	"genotype"	"ASO"	"genotypeASO"	1.80818636089311	0	1.61453176587804	0.262737310652717	0.730417430354259	0.456443726896412	0.792527038992554	NA	"prevalence"	32	30
