Domain	Phylum	Class	Order	Family	Genus	Species	SGB
Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	R267		SGB73560
Bacteria	Chloroflexota	Limnocylindria	P2-11E	P2-11E	CF-39		SGB73566
Bacteria	Chloroflexota	Limnocylindria	P2-11E	P2-11E	JACPOT01		SGB73567
Bacteria	Chloroflexota	Limnocylindria	P2-11E	P2-11E	3-1-20CM-2-70-9		SGB73569
Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_C	Paenibacillus_C oryzae	SGB7357
Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae			SGB73570
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	UBA4720		SGB73574
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	UBA4720		SGB73575
Bacteria	Firmicutes	Bacilli	Paenibacillales	DY6	Paenibacillus_N	Paenibacillus_N swuensis	SGB7358
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	20CM-2-65-7		SGB73583
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	20CM-2-65-7		SGB73585
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	AG41		SGB73586
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	AG41		SGB73589
Bacteria	Firmicutes	Bacilli	Paenibacillales	NBRC-103111	Paenibacillus_G	Paenibacillus_G naphthalenovorans	SGB7359
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	AG41		SGB73593
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	AG41		SGB73595
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	AG12		SGB73596
Bacteria	Firmicutes	Bacilli	Paenibacillales	NBRC-103111	VKM-B-2647	VKM-B-2647 sp000829455	SGB7360
Bacteria	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae	40CM-4-65-16		SGB73609
Bacteria	Firmicutes	Bacilli	Paenibacillales	NBRC-103111	Paenibacillus_G	Paenibacillus_G sp900101595	SGB7361
Bacteria	Chloroflexota	UBA5177					SGB73618
Bacteria	Dormibacterota	Dormibacteria	CF-121	CF-121	CF-121		SGB73619
Bacteria	Firmicutes	Bacilli	Paenibacillales	NBRC-103111	Paenibacillus_G	Paenibacillus_G mucilaginosus	SGB7362
Bacteria	Actinobacteriota	UBA4738					SGB73620
Bacteria	Chloroflexota	Limnocylindria	Limnocylindrales	CSP1-4	C-114		SGB73622
Bacteria	Firmicutes	Bacilli	Paenibacillales	NBRC-103111	Paenibacillus_G	Paenibacillus_G tyrfis	SGB7363
Bacteria	Firmicutes	Bacilli	Paenibacillales	NBRC-103111	Paenibacillus_G	Paenibacillus_G elgii	SGB7364
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae			SGB73645
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae			SGB73649
Bacteria	Firmicutes	Bacilli	Paenibacillales	NBRC-103111	Paenibacillus_G	Paenibacillus_G sp001399685	SGB7365
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-744	Palsa-744 sp903970315	SGB73653
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-744	Palsa-744 sp903970125	SGB73654
Bacteria	Firmicutes	Bacilli	Paenibacillales	NBRC-103111	Paenibacillus_G	Paenibacillus_G tianmuensis	SGB7366
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Baekduia		SGB73660
Bacteria	Firmicutes	Bacilli	Paenibacillales	NBRC-103111	Paenibacillus_F	Paenibacillus_F sp000411255	SGB7367
